ID,Material_transformation_id,Type,Quantity,Condition,Unit
1548,145,,10.00,Reaction time condition,HR
1549,145,Liquid,0,Reaction medium condition,PH
1550,145,Visible,400-780,Wavelength condition,NanoM
1551,145,Visible,,Illuminated area condition,M2
1552,146,Slurry,0.30,Reactor condition,L
1553,146,Powder(Suspended),0.3,Catalyst set up condition,GM
1554,146,Fluorescent,,Lamp power condition,W
1555,146,Fluorescent,1460.00,Lamp irradiance condition,W-PER-M2
1556,146,,25.00,Temperature condition,DEG_C
1557,146,,1.01,Preasure condition,BAR
1558,146,,83.30,Space velocity condition,PER-HR
1559,146,,10.00,Reaction time condition,HR
1560,146,Liquid,0,Reaction medium condition,PH
1561,146,Visible,400-780,Wavelength condition,NanoM
1562,146,Visible,,Illuminated area condition,M2
1563,147,Slurry,0.22,Reactor condition,L
1564,147,Optical Fiber,0.3,Catalyst set up condition,GM
1565,147,Halogen,100.00,Lamp power condition,W
1566,147,Halogen,3270.00,Lamp irradiance condition,W-PER-M2
1567,147,,75.00,Temperature condition,DEG_C
1568,147,,1.20,Preasure condition,BAR
1569,147,,83.30,Space velocity condition,PER-HR
1570,147,,4.00,Reaction time condition,HR
1571,147,Liquid,0,Reaction medium condition,PH
1572,147,Visible,400-780,Wavelength condition,NanoM
1573,147,Visible,,Illuminated area condition,M2
1574,148,Slurry,0.22,Reactor condition,L
1575,148,Optical Fiber,0.3,Catalyst set up condition,GM
1576,148,Halogen,100.00,Lamp power condition,W
1577,148,Halogen,3270.00,Lamp irradiance condition,W-PER-M2
1578,148,,25.00,Temperature condition,DEG_C
1579,148,,1.20,Preasure condition,BAR
1580,148,,83.30,Space velocity condition,PER-HR
1581,148,,4.00,Reaction time condition,HR
1582,148,Liquid,0,Reaction medium condition,PH
1583,148,Visible,400-780,Wavelength condition,NanoM
1584,148,Visible,,Illuminated area condition,M2
1585,149,Slurry,0.22,Reactor condition,L
1586,149,Optical Fiber,0.3,Catalyst set up condition,GM
1587,149,Solar,,Lamp power condition,W
1588,149,Solar,,Lamp irradiance condition,W-PER-M2
1589,149,,25.00,Temperature condition,DEG_C
1590,149,,1.20,Preasure condition,BAR
1591,149,,83.30,Space velocity condition,PER-HR
1592,149,,4.00,Reaction time condition,HR
1593,149,Liquid,0,Reaction medium condition,PH
1594,149,Solar,0,Wavelength condition,NanoM
1595,149,Solar,,Illuminated area condition,M2
1596,150,Optical Fiber,,Reactor condition,L
1597,150,Powder(Supported),0.01,Catalyst set up condition,GM
1598,150,Other,,Lamp power condition,W
1599,150,Other,,Lamp irradiance condition,W-PER-M2
1600,150,,25.00,Temperature condition,DEG_C
1601,150,,,Preasure condition,BAR
1602,150,,230.00,Space velocity condition,PER-HR
1603,150,,,Reaction time condition,HR
1604,150,Gas,,Reaction medium condition,PH
1605,150,UV,192-280(UV-A),Wavelength condition,NanoM
1606,150,UV,,Illuminated area condition,M2
1607,151,Fixed-bed,0.01,Reactor condition,L
1608,151,Other,,Catalyst set up condition,GM
1609,151,Solar,,Lamp power condition,W
1610,151,Solar,1000.00,Lamp irradiance condition,W-PER-M2
1611,151,,44.00,Temperature condition,DEG_C
1612,151,,1.00,Preasure condition,BAR
1613,151,,,Space velocity condition,PER-HR
1614,151,,3.00,Reaction time condition,HR
1615,151,Gas,,Reaction medium condition,PH
1616,151,Solar,0,Wavelength condition,NanoM
1617,151,Solar,,Illuminated area condition,M2
1618,152,Fixed-bed,0.01,Reactor condition,L
1619,152,Other,,Catalyst set up condition,GM
1620,152,Solar,,Lamp power condition,W
1621,152,Solar,1000.00,Lamp irradiance condition,W-PER-M2
1622,152,,44.00,Temperature condition,DEG_C
1623,152,,1.00,Preasure condition,BAR
1624,152,,,Space velocity condition,PER-HR
1625,152,,3.00,Reaction time condition,HR
1626,152,Gas,,Reaction medium condition,PH
1627,152,Solar,0,Wavelength condition,NanoM
1628,152,Solar,,Illuminated area condition,M2
1629,153,Fixed-bed,0.01,Reactor condition,L
1630,153,Other,,Catalyst set up condition,GM
1631,153,Solar,,Lamp power condition,W
1632,153,Solar,1000.00,Lamp irradiance condition,W-PER-M2
1633,153,,44.00,Temperature condition,DEG_C
1634,153,,1.00,Preasure condition,BAR
1635,153,,,Space velocity condition,PER-HR
1636,153,,3.00,Reaction time condition,HR
1637,153,Gas,,Reaction medium condition,PH
1638,153,Solar,0,Wavelength condition,NanoM
1639,153,Solar,,Illuminated area condition,M2
1640,157,Fixed-bed,,Reactor condition,L
1641,157,Film,0.05,Catalyst set up condition,GM
1642,157,Mercury(Hg),100.00,Lamp power condition,W
1643,157,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1644,157,,50.00,Temperature condition,DEG_C
1645,157,,,Preasure condition,BAR
1646,157,,,Space velocity condition,PER-HR
1647,157,,8.00,Reaction time condition,HR
1648,157,Gas,,Reaction medium condition,PH
1649,157,UV,192-280(UV-A),Wavelength condition,NanoM
1650,157,UV,,Illuminated area condition,M2
1651,158,Slurry,,Reactor condition,L
1652,158,Powder,0.03,Catalyst set up condition,GM
1653,158,Xenon(Xe),300.00,Lamp power condition,W
1654,158,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1655,158,,,Temperature condition,DEG_C
1656,158,,,Preasure condition,BAR
1657,158,,,Space velocity condition,PER-HR
1658,158,,2.50,Reaction time condition,HR
1659,158,Liquid,0,Reaction medium condition,PH
1660,158,UV,0,Wavelength condition,NanoM
1661,158,UV,,Illuminated area condition,M2
1662,159,Slurry,,Reactor condition,L
1663,159,Powder,0.1,Catalyst set up condition,GM
1664,159,Xenon(Xe),300.00,Lamp power condition,W
1665,159,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1666,159,,,Temperature condition,DEG_C
1667,159,,,Preasure condition,BAR
1668,159,,,Space velocity condition,PER-HR
1669,159,,2.50,Reaction time condition,HR
1670,159,Liquid,0,Reaction medium condition,PH
1671,159,UV,0,Wavelength condition,NanoM
1672,159,UV,,Illuminated area condition,M2
1673,160,Fixed-bed,,Reactor condition,L
1674,160,Powder(Supported),,Catalyst set up condition,GM
1675,160,Mercury(Hg),,Lamp power condition,W
1676,160,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1677,160,,55.00,Temperature condition,DEG_C
1678,160,,,Preasure condition,BAR
1679,160,,,Space velocity condition,PER-HR
1680,160,,,Reaction time condition,HR
1681,160,Gas,,Reaction medium condition,PH
1682,160,UV,192-280(UV-A),Wavelength condition,NanoM
1683,160,UV,,Illuminated area condition,M2
1684,161,Fixed-bed,,Reactor condition,L
1685,161,Powder(Supported),,Catalyst set up condition,GM
1686,161,Mercury(Hg),,Lamp power condition,W
1687,161,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1688,161,,55.00,Temperature condition,DEG_C
1689,161,,,Preasure condition,BAR
1690,161,,,Space velocity condition,PER-HR
1691,161,,,Reaction time condition,HR
1692,161,Gas,,Reaction medium condition,PH
1693,161,UV,192-280(UV-A),Wavelength condition,NanoM
1694,161,UV,,Illuminated area condition,M2
1695,162,Fixed-bed,,Reactor condition,L
1696,162,Powder(Supported),,Catalyst set up condition,GM
1697,162,Mercury(Hg),,Lamp power condition,W
1698,162,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1699,162,,55.00,Temperature condition,DEG_C
1700,162,,,Preasure condition,BAR
1701,162,,,Space velocity condition,PER-HR
1702,162,,,Reaction time condition,HR
1703,162,Gas,,Reaction medium condition,PH
1704,162,UV,192-280(UV-A),Wavelength condition,NanoM
1705,162,UV,,Illuminated area condition,M2
1706,163,Fixed-bed,,Reactor condition,L
1707,163,Powder(Supported),,Catalyst set up condition,GM
1708,163,Mercury(Hg),,Lamp power condition,W
1709,163,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1710,163,,55.00,Temperature condition,DEG_C
1711,163,,,Preasure condition,BAR
1712,163,,,Space velocity condition,PER-HR
1713,163,,,Reaction time condition,HR
1714,163,Gas,,Reaction medium condition,PH
1715,163,UV,192-280(UV-A),Wavelength condition,NanoM
1716,163,UV,,Illuminated area condition,M2
1717,164,Fixed-bed,,Reactor condition,L
1718,164,Powder(Supported),,Catalyst set up condition,GM
1719,164,Mercury(Hg),,Lamp power condition,W
1720,164,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1721,164,,55.00,Temperature condition,DEG_C
1722,164,,,Preasure condition,BAR
1723,164,,,Space velocity condition,PER-HR
1724,164,,,Reaction time condition,HR
1725,164,Gas,,Reaction medium condition,PH
1726,164,UV,192-280(UV-A),Wavelength condition,NanoM
1727,164,UV,,Illuminated area condition,M2
1728,165,Fixed-bed,,Reactor condition,L
1729,165,Powder(Supported),,Catalyst set up condition,GM
1730,165,Mercury(Hg),,Lamp power condition,W
1731,165,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1732,165,,55.00,Temperature condition,DEG_C
1733,165,,,Preasure condition,BAR
1734,165,,,Space velocity condition,PER-HR
1735,165,,,Reaction time condition,HR
1736,165,Gas,,Reaction medium condition,PH
1737,165,UV,192-280(UV-A),Wavelength condition,NanoM
1738,165,UV,,Illuminated area condition,M2
1739,166,Fixed-bed,0.09,Reactor condition,L
1740,166,Other,0.05,Catalyst set up condition,GM
1741,166,Mercury(Hg),100.00,Lamp power condition,W
1742,166,Mercury(Hg),2.65,Lamp irradiance condition,W-PER-M2
1743,166,,50.00,Temperature condition,DEG_C
1744,166,,,Preasure condition,BAR
1745,166,,,Space velocity condition,PER-HR
1746,166,,6.00,Reaction time condition,HR
1747,166,Gas,,Reaction medium condition,PH
1748,166,UV,192-280(UV-A),Wavelength condition,NanoM
1749,166,UV,,Illuminated area condition,M2
1750,167,Fixed-bed,0.09,Reactor condition,L
1751,167,Other,0.05,Catalyst set up condition,GM
1752,167,Mercury(Hg),100.00,Lamp power condition,W
1753,167,Mercury(Hg),2.65,Lamp irradiance condition,W-PER-M2
1754,167,,50.00,Temperature condition,DEG_C
1755,167,,,Preasure condition,BAR
1756,167,,,Space velocity condition,PER-HR
1757,167,,6.00,Reaction time condition,HR
1758,167,Gas,,Reaction medium condition,PH
1759,167,UV,192-280(UV-A),Wavelength condition,NanoM
1760,167,UV,,Illuminated area condition,M2
1761,168,Fixed-bed,0.09,Reactor condition,L
1762,168,Other,0.05,Catalyst set up condition,GM
1763,168,Mercury(Hg),100.00,Lamp power condition,W
1764,168,Mercury(Hg),2.65,Lamp irradiance condition,W-PER-M2
1765,168,,50.00,Temperature condition,DEG_C
1766,168,,,Preasure condition,BAR
1767,168,,,Space velocity condition,PER-HR
1768,168,,6.00,Reaction time condition,HR
1769,168,Gas,,Reaction medium condition,PH
1770,168,UV,192-280(UV-A),Wavelength condition,NanoM
1771,168,UV,,Illuminated area condition,M2
1772,169,Fixed-bed,0.09,Reactor condition,L
1773,169,Other,0.05,Catalyst set up condition,GM
1774,169,Mercury(Hg),100.00,Lamp power condition,W
1775,169,Mercury(Hg),2.65,Lamp irradiance condition,W-PER-M2
1776,169,,50.00,Temperature condition,DEG_C
1777,169,,,Preasure condition,BAR
1778,169,,,Space velocity condition,PER-HR
1779,169,,6.00,Reaction time condition,HR
1780,169,Gas,,Reaction medium condition,PH
1781,169,UV,192-280(UV-A),Wavelength condition,NanoM
1782,169,UV,,Illuminated area condition,M2
1783,170,Slurry,0.10,Reactor condition,L
1784,170,Powder(Suspended),0.2,Catalyst set up condition,GM
1785,170,Xenon(Xe),300.00,Lamp power condition,W
1786,170,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1787,170,,,Temperature condition,DEG_C
1788,170,,1.00,Preasure condition,BAR
1789,170,,80.00,Space velocity condition,PER-HR
1790,170,,1.33,Reaction time condition,HR
1791,170,Liquid,0,Reaction medium condition,PH
1792,170,Visible,400-780,Wavelength condition,NanoM
1793,170,Visible,,Illuminated area condition,M2
1794,171,Slurry,0.10,Reactor condition,L
1795,171,Powder(Suspended),0.2,Catalyst set up condition,GM
1796,171,Xenon(Xe),300.00,Lamp power condition,W
1797,171,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1798,171,,,Temperature condition,DEG_C
1799,171,,1.00,Preasure condition,BAR
1800,171,,80.00,Space velocity condition,PER-HR
1801,171,,1.33,Reaction time condition,HR
1802,171,Liquid,0,Reaction medium condition,PH
1803,171,Visible,400-780,Wavelength condition,NanoM
1804,171,Visible,,Illuminated area condition,M2
1805,172,Slurry,0.10,Reactor condition,L
1806,172,Powder(Suspended),0.2,Catalyst set up condition,GM
1807,172,Xenon(Xe),300.00,Lamp power condition,W
1808,172,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1809,172,,,Temperature condition,DEG_C
1810,172,,1.00,Preasure condition,BAR
1811,172,,80.00,Space velocity condition,PER-HR
1812,172,,1.33,Reaction time condition,HR
1813,172,Liquid,0,Reaction medium condition,PH
1814,172,Visible,400-780,Wavelength condition,NanoM
1815,172,Visible,,Illuminated area condition,M2
1816,173,Slurry,0.10,Reactor condition,L
1817,173,Powder(Suspended),0.2,Catalyst set up condition,GM
1818,173,Xenon(Xe),300.00,Lamp power condition,W
1819,173,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1820,173,,,Temperature condition,DEG_C
1821,173,,1.00,Preasure condition,BAR
1822,173,,80.00,Space velocity condition,PER-HR
1823,173,,1.33,Reaction time condition,HR
1824,173,Liquid,0,Reaction medium condition,PH
1825,173,Visible,400-780,Wavelength condition,NanoM
1826,173,Visible,,Illuminated area condition,M2
1827,174,Slurry,,Reactor condition,L
1828,174,Powder(Suspended),0.0002,Catalyst set up condition,GM
1829,174,Mercury(Hg),500.00,Lamp power condition,W
1830,174,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1831,174,,25.00,Temperature condition,DEG_C
1832,174,,,Preasure condition,BAR
1833,174,,,Space velocity condition,PER-HR
1834,174,,5.00,Reaction time condition,HR
1835,174,Liquid,0,Reaction medium condition,PH
1836,174,UV,280-315(UV-B),Wavelength condition,NanoM
1837,174,UV,,Illuminated area condition,M2
1838,175,Slurry,,Reactor condition,L
1839,175,Powder(Suspended),0.0002,Catalyst set up condition,GM
1840,175,Mercury(Hg),500.00,Lamp power condition,W
1841,175,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1842,175,,25.00,Temperature condition,DEG_C
1843,175,,,Preasure condition,BAR
1844,175,,,Space velocity condition,PER-HR
1845,175,,5.00,Reaction time condition,HR
1846,175,Liquid,0,Reaction medium condition,PH
1847,175,UV,280-315(UV-B),Wavelength condition,NanoM
1848,175,UV,,Illuminated area condition,M2
1849,176,Slurry,0.17,Reactor condition,L
1850,176,Powder(Suspended),0.3,Catalyst set up condition,GM
1851,176,Xenon(Xe),300.00,Lamp power condition,W
1852,176,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1853,176,,317.00,Temperature condition,DEG_C
1854,176,,,Preasure condition,BAR
1855,176,,,Space velocity condition,PER-HR
1856,176,,6.00,Reaction time condition,HR
1857,176,Liquid,0,Reaction medium condition,PH
1858,176,Visible,400-780,Wavelength condition,NanoM
1859,176,Visible,0.01,Illuminated area condition,M2
1860,177,Slurry,0.17,Reactor condition,L
1861,177,Powder(Suspended),0.3,Catalyst set up condition,GM
1862,177,Mercury(Hg),150.00,Lamp power condition,W
1863,177,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1864,177,,317.00,Temperature condition,DEG_C
1865,177,,,Preasure condition,BAR
1866,177,,,Space velocity condition,PER-HR
1867,177,,6.00,Reaction time condition,HR
1868,177,Liquid,0,Reaction medium condition,PH
1869,177,Visible,400-780,Wavelength condition,NanoM
1870,177,Visible,0.01,Illuminated area condition,M2
1871,178,Slurry,0.17,Reactor condition,L
1872,178,Powder(Suspended),0.3,Catalyst set up condition,GM
1873,178,Solar,,Lamp power condition,W
1874,178,Solar,985.00,Lamp irradiance condition,W-PER-M2
1875,178,,25.00,Temperature condition,DEG_C
1876,178,,,Preasure condition,BAR
1877,178,,,Space velocity condition,PER-HR
1878,178,,6.00,Reaction time condition,HR
1879,178,Liquid,0,Reaction medium condition,PH
1880,178,Solar,0,Wavelength condition,NanoM
1881,178,Solar,0.01,Illuminated area condition,M2
1882,180,Slurry,0.17,Reactor condition,L
1883,180,Powder(Suspended),0.3,Catalyst set up condition,GM
1884,180,Xenon(Xe),300.00,Lamp power condition,W
1885,180,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1886,180,,25.00,Temperature condition,DEG_C
1887,180,,,Preasure condition,BAR
1888,180,,,Space velocity condition,PER-HR
1889,180,,6.00,Reaction time condition,HR
1890,180,Liquid,0,Reaction medium condition,PH
1891,180,Visible,400-780,Wavelength condition,NanoM
1892,180,Visible,0.01,Illuminated area condition,M2
1893,181,Slurry,0.17,Reactor condition,L
1894,181,Powder(Suspended),0.3,Catalyst set up condition,GM
1895,181,Mercury(Hg),150.00,Lamp power condition,W
1896,181,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1897,181,,25.00,Temperature condition,DEG_C
1898,181,,,Preasure condition,BAR
1899,181,,,Space velocity condition,PER-HR
1900,181,,6.00,Reaction time condition,HR
1901,181,Liquid,0,Reaction medium condition,PH
1902,181,Visible,400-780,Wavelength condition,NanoM
1903,181,Visible,0.01,Illuminated area condition,M2
1904,182,Slurry,0.17,Reactor condition,L
1905,182,Powder(Suspended),0.3,Catalyst set up condition,GM
1906,182,Solar,,Lamp power condition,W
1907,182,Solar,1100.00,Lamp irradiance condition,W-PER-M2
1908,182,,25.00,Temperature condition,DEG_C
1909,182,,,Preasure condition,BAR
1910,182,,,Space velocity condition,PER-HR
1911,182,,6.00,Reaction time condition,HR
1912,182,Liquid,0,Reaction medium condition,PH
1913,182,Solar,0,Wavelength condition,NanoM
1914,182,Solar,0.01,Illuminated area condition,M2
1915,183,Slurry,0.17,Reactor condition,L
1916,183,Powder(Suspended),0.3,Catalyst set up condition,GM
1917,183,Mercury(Hg),150.00,Lamp power condition,W
1918,183,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1919,183,,25.00,Temperature condition,DEG_C
1920,183,,,Preasure condition,BAR
1921,183,,,Space velocity condition,PER-HR
1922,183,,6.00,Reaction time condition,HR
1923,183,Liquid,0,Reaction medium condition,PH
1924,183,Visible,400-780,Wavelength condition,NanoM
1925,183,Visible,0.01,Illuminated area condition,M2
1926,184,Slurry,0.17,Reactor condition,L
1927,184,Powder(Suspended),0.3,Catalyst set up condition,GM
1928,184,Xenon(Xe),300.00,Lamp power condition,W
1929,184,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1930,184,,25.00,Temperature condition,DEG_C
1931,184,,,Preasure condition,BAR
1932,184,,,Space velocity condition,PER-HR
1933,184,,6.00,Reaction time condition,HR
1934,184,Liquid,0,Reaction medium condition,PH
1935,184,Visible,400-780,Wavelength condition,NanoM
1936,184,Visible,0.01,Illuminated area condition,M2
1937,185,Slurry,0.17,Reactor condition,L
1938,185,Powder(Suspended),0.3,Catalyst set up condition,GM
1939,185,Mercury(Hg),150.00,Lamp power condition,W
1940,185,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1941,185,,25.00,Temperature condition,DEG_C
1942,185,,,Preasure condition,BAR
1943,185,,,Space velocity condition,PER-HR
1944,185,,6.00,Reaction time condition,HR
1945,185,Liquid,0,Reaction medium condition,PH
1946,185,Visible,400-780,Wavelength condition,NanoM
1947,185,Visible,0.01,Illuminated area condition,M2
1948,186,Slurry,0.17,Reactor condition,L
1949,186,Powder(Suspended),0.3,Catalyst set up condition,GM
1950,186,Xenon(Xe),300.00,Lamp power condition,W
1951,186,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1952,186,,25.00,Temperature condition,DEG_C
1953,186,,,Preasure condition,BAR
1954,186,,,Space velocity condition,PER-HR
1955,186,,6.00,Reaction time condition,HR
1956,186,Liquid,0,Reaction medium condition,PH
1957,186,Visible,400-780,Wavelength condition,NanoM
1958,186,Visible,0.01,Illuminated area condition,M2
1959,187,Slurry,0.17,Reactor condition,L
1960,187,Powder(Suspended),0.3,Catalyst set up condition,GM
1961,187,Solar,,Lamp power condition,W
1962,187,Solar,886.67,Lamp irradiance condition,W-PER-M2
1963,187,,274.00,Temperature condition,DEG_C
1964,187,,,Preasure condition,BAR
1965,187,,,Space velocity condition,PER-HR
1966,187,,6.00,Reaction time condition,HR
1967,187,Liquid,0,Reaction medium condition,PH
1968,187,Solar,0,Wavelength condition,NanoM
1969,187,Solar,0.01,Illuminated area condition,M2
1970,188,Slurry,0.17,Reactor condition,L
1971,188,Powder(Suspended),0.3,Catalyst set up condition,GM
1972,188,Xenon(Xe),300.00,Lamp power condition,W
1973,188,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
1974,188,,25.00,Temperature condition,DEG_C
1975,188,,,Preasure condition,BAR
1976,188,,,Space velocity condition,PER-HR
1977,188,,6.00,Reaction time condition,HR
1978,188,Liquid,0,Reaction medium condition,PH
1979,188,Visible,400-780,Wavelength condition,NanoM
1980,188,Visible,0.01,Illuminated area condition,M2
1981,189,Slurry,0.17,Reactor condition,L
1982,189,Powder(Suspended),0.3,Catalyst set up condition,GM
1983,189,Mercury(Hg),150.00,Lamp power condition,W
1984,189,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
1985,189,,25.00,Temperature condition,DEG_C
1986,189,,,Preasure condition,BAR
1987,189,,,Space velocity condition,PER-HR
1988,189,,6.00,Reaction time condition,HR
1989,189,Liquid,0,Reaction medium condition,PH
1990,189,Visible,400-780,Wavelength condition,NanoM
1991,189,Visible,0.01,Illuminated area condition,M2
1992,190,Slurry,0.17,Reactor condition,L
1993,190,Powder(Suspended),0.3,Catalyst set up condition,GM
1994,190,Solar,,Lamp power condition,W
1995,190,Solar,901.67,Lamp irradiance condition,W-PER-M2
1996,190,,280.00,Temperature condition,DEG_C
1997,190,,,Preasure condition,BAR
1998,190,,,Space velocity condition,PER-HR
1999,190,,6.00,Reaction time condition,HR
2000,190,Liquid,0,Reaction medium condition,PH
2001,190,Solar,0,Wavelength condition,NanoM
2002,190,Solar,0.01,Illuminated area condition,M2
2003,191,Slurry,0.17,Reactor condition,L
2004,191,Powder(Suspended),0.3,Catalyst set up condition,GM
2005,191,Xenon(Xe),300.00,Lamp power condition,W
2006,191,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
2007,191,,25.00,Temperature condition,DEG_C
2008,191,,,Preasure condition,BAR
2009,191,,,Space velocity condition,PER-HR
2010,191,,6.00,Reaction time condition,HR
2011,191,Liquid,0,Reaction medium condition,PH
2012,191,Visible,400-780,Wavelength condition,NanoM
2013,191,Visible,0.01,Illuminated area condition,M2
2014,192,Slurry,0.17,Reactor condition,L
2015,192,Powder(Suspended),0.3,Catalyst set up condition,GM
2016,192,Mercury(Hg),150.00,Lamp power condition,W
2017,192,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
2018,192,,25.00,Temperature condition,DEG_C
2019,192,,,Preasure condition,BAR
2020,192,,,Space velocity condition,PER-HR
2021,192,,6.00,Reaction time condition,HR
2022,192,Liquid,0,Reaction medium condition,PH
2023,192,Visible,400-780,Wavelength condition,NanoM
2024,192,Visible,0.01,Illuminated area condition,M2
2025,193,Slurry,0.17,Reactor condition,L
2026,193,Powder(Suspended),0.3,Catalyst set up condition,GM
2027,193,Solar,,Lamp power condition,W
2028,193,Solar,928.33,Lamp irradiance condition,W-PER-M2
2029,193,,283.00,Temperature condition,DEG_C
2030,193,,,Preasure condition,BAR
2031,193,,,Space velocity condition,PER-HR
2032,193,,6.00,Reaction time condition,HR
2033,193,Liquid,0,Reaction medium condition,PH
2034,193,Solar,0,Wavelength condition,NanoM
2035,193,Solar,0.01,Illuminated area condition,M2
2036,194,Fixed-bed,0.15,Reactor condition,L
2037,194,Powder(Supported),1,Catalyst set up condition,GM
2038,194,Mercury-Xenon(Hg-Xe),200.00,Lamp power condition,W
2039,194,Mercury-Xenon(Hg-Xe),,Lamp irradiance condition,W-PER-M2
2040,194,,25.00,Temperature condition,DEG_C
2041,194,,1.00,Preasure condition,BAR
2042,194,,,Space velocity condition,PER-HR
2043,194,,5.00,Reaction time condition,HR
2044,194,Gas,,Reaction medium condition,PH
2045,194,UV,192-280(UV-A),Wavelength condition,NanoM
2046,194,UV,,Illuminated area condition,M2
2047,195,Fixed-bed,0.15,Reactor condition,L
2048,195,Powder(Supported),1,Catalyst set up condition,GM
2049,195,Mercury-Xenon(Hg-Xe),200.00,Lamp power condition,W
2050,195,Mercury-Xenon(Hg-Xe),,Lamp irradiance condition,W-PER-M2
2051,195,,25.00,Temperature condition,DEG_C
2052,195,,1.00,Preasure condition,BAR
2053,195,,,Space velocity condition,PER-HR
2054,195,,5.00,Reaction time condition,HR
2055,195,Gas,,Reaction medium condition,PH
2056,195,UV,192-280(UV-A),Wavelength condition,NanoM
2057,195,UV,,Illuminated area condition,M2
2058,196,Fixed-bed,0.15,Reactor condition,L
2059,196,Powder(Supported),1,Catalyst set up condition,GM
2060,196,Mercury-Xenon(Hg-Xe),200.00,Lamp power condition,W
2061,196,Mercury-Xenon(Hg-Xe),,Lamp irradiance condition,W-PER-M2
2062,196,,25.00,Temperature condition,DEG_C
2063,196,,1.00,Preasure condition,BAR
2064,196,,,Space velocity condition,PER-HR
2065,196,,5.00,Reaction time condition,HR
2066,196,Gas,,Reaction medium condition,PH
2067,196,UV,192-280(UV-A),Wavelength condition,NanoM
2068,196,UV,,Illuminated area condition,M2
2069,197,Fixed-bed,0.15,Reactor condition,L
2070,197,Powder(Supported),1,Catalyst set up condition,GM
2071,197,Mercury-Xenon(Hg-Xe),200.00,Lamp power condition,W
2072,197,Mercury-Xenon(Hg-Xe),,Lamp irradiance condition,W-PER-M2
2073,197,,25.00,Temperature condition,DEG_C
2074,197,,1.00,Preasure condition,BAR
2075,197,,,Space velocity condition,PER-HR
2076,197,,5.00,Reaction time condition,HR
2077,197,Gas,,Reaction medium condition,PH
2078,197,UV,192-280(UV-A),Wavelength condition,NanoM
2079,197,UV,,Illuminated area condition,M2
2080,198,Fixed-bed,0.15,Reactor condition,L
2081,198,Powder(Supported),1,Catalyst set up condition,GM
2082,198,Mercury-Xenon(Hg-Xe),200.00,Lamp power condition,W
2083,198,Mercury-Xenon(Hg-Xe),,Lamp irradiance condition,W-PER-M2
2084,198,,25.00,Temperature condition,DEG_C
2085,198,,1.00,Preasure condition,BAR
2086,198,,,Space velocity condition,PER-HR
2087,198,,5.00,Reaction time condition,HR
2088,198,Gas,,Reaction medium condition,PH
2089,198,UV,192-280(UV-A),Wavelength condition,NanoM
2090,198,UV,,Illuminated area condition,M2
2091,199,Fixed-bed,0.60,Reactor condition,L
2092,199,Powder(Supported),0.05,Catalyst set up condition,GM
2093,199,Mercury(Hg),120.00,Lamp power condition,W
2094,199,Mercury(Hg),1500.00,Lamp irradiance condition,W-PER-M2
2095,199,,,Temperature condition,DEG_C
2096,199,,1.03,Preasure condition,BAR
2097,199,,,Space velocity condition,PER-HR
2098,199,,7.00,Reaction time condition,HR
2099,199,Gas,,Reaction medium condition,PH
2100,199,UV,315-400(UV-C),Wavelength condition,NanoM
2101,199,UV,,Illuminated area condition,M2
2102,200,Fixed-bed,0.60,Reactor condition,L
2103,200,Powder(Supported),0.05,Catalyst set up condition,GM
2104,200,Mercury(Hg),120.00,Lamp power condition,W
2105,200,Mercury(Hg),1500.00,Lamp irradiance condition,W-PER-M2
2106,200,,,Temperature condition,DEG_C
2107,200,,1.03,Preasure condition,BAR
2108,200,,,Space velocity condition,PER-HR
2109,200,,7.00,Reaction time condition,HR
2110,200,Gas,,Reaction medium condition,PH
2111,200,UV,315-400(UV-C),Wavelength condition,NanoM
2112,200,UV,,Illuminated area condition,M2
2113,201,Fixed-bed,0.09,Reactor condition,L
2114,201,Powder(Supported),0.05,Catalyst set up condition,GM
