ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
113,26,CH4,1.6400,gh,MicroMOL-PER-GM-HR
114,26,CO,0.2100,g,MicroMOL-PER-GM
115,26,CH4,3.2800,g,MicroMOL-PER-GM
116,26,CO,3.8889,m2h,MicroMOL-PER-M2-HR
117,26,CH4,60.7407,m2h,MicroMOL-PER-M2-HR
118,27,CO,0.1400,gh,MicroMOL-PER-GM-HR
119,27,CH4,4.1050,gh,MicroMOL-PER-GM-HR
120,27,C2H6,0.1000,gh,MicroMOL-PER-GM-HR
121,27,CO,0.2800,g,MicroMOL-PER-GM
122,27,CH4,8.2100,g,MicroMOL-PER-GM
123,27,C2H6,0.2000,g,MicroMOL-PER-GM
124,27,CO,5.1852,m2h,MicroMOL-PER-M2-HR
125,27,CH4,152.0370,m2h,MicroMOL-PER-M2-HR
126,27,C2H6,3.7037,m2h,MicroMOL-PER-M2-HR
127,28,CO,0.0400,gh,MicroMOL-PER-GM-HR
128,28,CO,0.0800,g,MicroMOL-PER-GM
129,28,CO,1.4815,m2h,MicroMOL-PER-M2-HR
130,29,CO,0.5100,gh,MicroMOL-PER-GM-HR
131,29,CO,1.0200,g,MicroMOL-PER-GM
132,29,CO,18.8889,m2h,MicroMOL-PER-M2-HR
133,30,CO,0.6200,gh,MicroMOL-PER-GM-HR
134,30,CO,1.2400,g,MicroMOL-PER-GM
135,30,CO,22.9630,m2h,MicroMOL-PER-M2-HR
136,31,CH3OH,2.3000,gh,MicroMOL-PER-GM-HR
137,31,CH3OH,9.2000,g,MicroMOL-PER-GM
138,32,CH3OH,4.1200,gh,MicroMOL-PER-GM-HR
139,32,CH3OH,16.4800,g,MicroMOL-PER-GM
140,33,CH3OH,3.8000,gh,MicroMOL-PER-GM-HR
141,33,CH3OH,15.2000,g,MicroMOL-PER-GM
142,34,CH4,0.2810,gh,MicroMOL-PER-GM-HR
143,34,CH4,1.5455,g,MicroMOL-PER-GM
144,35,CH4,0.9140,gh,MicroMOL-PER-GM-HR
145,35,C2H4,0.5750,gh,MicroMOL-PER-GM-HR
146,35,CH4,3.6560,g,MicroMOL-PER-GM
147,35,C2H4,2.3000,g,MicroMOL-PER-GM
148,36,CH4,0.1770,gh,MicroMOL-PER-GM-HR
149,36,CH4,0.9735,g,MicroMOL-PER-GM
150,37,CH4,0.1850,gh,MicroMOL-PER-GM-HR
151,37,CH4,0.7400,g,MicroMOL-PER-GM
152,38,CH4,1.8600,gh,MicroMOL-PER-GM-HR
153,38,C2H4,0.2110,gh,MicroMOL-PER-GM-HR
154,38,CH4,7.4400,g,MicroMOL-PER-GM
155,38,C2H4,0.8440,g,MicroMOL-PER-GM
156,39,CH4,0.2790,gh,MicroMOL-PER-GM-HR
157,39,CH4,1.5345,g,MicroMOL-PER-GM
158,40,CH4,0.8470,gh,MicroMOL-PER-GM-HR
159,40,C2H4,0.5620,gh,MicroMOL-PER-GM-HR
160,40,CH4,3.3880,g,MicroMOL-PER-GM
161,40,C2H4,2.2480,g,MicroMOL-PER-GM
162,41,CH4,0.6170,gh,MicroMOL-PER-GM-HR
163,41,CH4,3.3935,g,MicroMOL-PER-GM
164,42,CH3OH,56.0000,gh,MicroMOL-PER-GM-HR
165,42,HCOOH,38.0000,gh,MicroMOL-PER-GM-HR
166,42,C2H4O2,6.0000,gh,MicroMOL-PER-GM-HR
167,42,CH3OH,280.0000,g,MicroMOL-PER-GM
168,42,HCOOH,190.0000,g,MicroMOL-PER-GM
169,42,C2H4O2,30.0000,g,MicroMOL-PER-GM
170,43,CO,250.0000,gh,MicroMOL-PER-GM-HR
171,43,CO,1000.0000,g,MicroMOL-PER-GM
172,45,CH4,12.6600,gh,MicroMOL-PER-GM-HR
173,45,C2H5OH,6.9200,gh,MicroMOL-PER-GM-HR
174,45,HCOOH,25.0200,gh,MicroMOL-PER-GM-HR
175,45,CH4,63.3000,g,MicroMOL-PER-GM
176,45,C2H5OH,34.6000,g,MicroMOL-PER-GM
177,45,HCOOH,125.1000,g,MicroMOL-PER-GM
178,46,CH4,3.7340,gh,MicroMOL-PER-GM-HR
