ID,name
599,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS
613,JOURNAL OF PHYSICS-CONDENSED MATTER
644,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY
653,JOURNAL OF SUPERCRITICAL FLUIDS
730,MATERIALS & DESIGN
751,MATERIALS SCIENCE AND TECHNOLOGY
821,OPTICAL MATERIALS
882,PHYSICS TODAY
1011,SCIENTIFIC REPORTS
1093,AAPG BULLETIN
4,ACI MATERIALS JOURNAL
44,ADVANCED MATERIALS INTERFACES
45,ADVANCED OPTICAL MATERIALS
71,AIP ADVANCES
138,BEILSTEIN JOURNAL OF ORGANIC CHEMISTRY
214,CHEMICAL SCIENCE
259,CHINESE SCIENCE BULLETIN
358,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY
382,FARADAY DISCUSSIONS
552,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
662,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY
679,JOURNAL OF THE KOREAN PHYSICAL SOCIETY
681,JOURNAL OF THE ROYAL SOCIETY INTERFACE
701,KOREAN JOURNAL OF CHEMICAL ENGINEERING
729,MATERIALS
745,MATERIALS SCIENCE
780,NANO LETTERS
810,NEW JOURNAL OF CHEMISTRY
923,PROCEEDINGS OF THE IEEE
1003,SCIENCE CHINA-CHEMISTRY
1094,ADVANCED SCIENCE
1095,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING
1096,ENERGY PROCEDIA
1097,COORDINATION CHEMISTRY REVIEWS
1098,AIP CONFERENCE PROCEEDINGS
1099,JOULE
2,ACCOUNTS OF CHEMICAL RESEARCH
46,ADVANCED POWDER TECHNOLOGY
207,CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE
365,ENVIRONMENTAL SCIENCE-NANO
468,INTERNATIONAL JOURNAL OF NANOTECHNOLOGY
574,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
752,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING
757,MATERIALS TODAY
798,NATURE COMMUNICATIONS
962,RENEWABLE ENERGY
1036,SOLID STATE SCIENCES
39,ADVANCED ENERGY MATERIALS
102,APPLIED ENERGY
162,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN
203,CHEMICAL ENGINEERING SCIENCE
237,CHEMPHYSCHEM
243,CHINESE CHEMICAL LETTERS
385,FRONTIERS OF PHYSICS
575,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS
586,JOURNAL OF NANOPARTICLE RESEARCH
645,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME
762,MICROCHEMICAL JOURNAL
785,NANOMATERIALS
811,NEW JOURNAL OF PHYSICS
1000,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS
1085,WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT
