ID,Material_transformation_id,Chemical,Percent,Role,crystal_structure
177,76,CdSe,,Co-catalyst,P25
178,76,Pt,,Co-catalyst,P25
179,76,H2O,,Reductant,P25
180,77,TiO2,,Catalyst,Anatase
181,77,H2O,,Reductant,Anatase
182,78,TiO2,,Catalyst,Anatase
183,78,Pt,0.25,Co-catalyst,Anatase
184,78,BrAsp,,Dye,Anatase
185,78,H2O,,Reductant,Anatase
186,79,TiO2,,Catalyst,Anatase
187,79,Pt,0.25,Co-catalyst,Anatase
188,79,N3,,Dye,Anatase
189,79,H2O,,Reductant,Anatase
190,80,TiO2,,Catalyst,Anatase
191,80,Pt,0.25,Co-catalyst,Anatase
192,80,N3,,Dye,Anatase
193,80,H2O,,Reductant,Anatase
194,81,TiO2,,Catalyst,P25
195,81,SiO2,,Support,P25
196,81,H2O,,Reductant,P25
197,82,TiO2,,Catalyst,P25
198,82,SiO2,,Support,P25
199,82,Cu,0.5,Co-catalyst,P25
200,82,H2O,,Reductant,P25
201,83,TiO2,,Catalyst,
202,83,Rh,1,Co-catalyst,
203,83,H2,,Reductant,
204,84,TiO2,,Catalyst,Anatase
205,84,H2O,,Reductant,Anatase
206,85,TiO2,,Catalyst,P25
207,85,Ni,1,Co-catalyst,P25
208,85,H2,,Reductant,P25
209,86,TiO2,,Catalyst,P25
210,86,Pt,1,Co-catalyst,P25
211,86,H2,,Reductant,P25
212,87,TiO2,,Catalyst,P25
213,87,Ru,1,Co-catalyst,P25
214,87,H2,,Reductant,P25
215,88,TiO2,,Catalyst,P25
216,88,H2,,Reductant,P25
217,89,TiO2,,Catalyst,P25
218,89,Cu,0.5,Co-catalyst,P25
219,89,Fe,0.5,Co-catalyst,P25
220,89,H2O,,Reductant,P25
221,90,TiO2,,Catalyst,P25
222,90,Cu,0.5,Co-catalyst,P25
223,90,Fe,0.5,Co-catalyst,P25
224,90,H2O,,Reductant,P25
225,91,TiO2,,Catalyst,P25
226,91,Cu,0.5,Co-catalyst,P25
227,91,Fe,0.5,Co-catalyst,P25
228,91,H2O,,Reductant,P25
229,92,TiO2,,Catalyst,P25
230,92,Cu,0.5,Co-catalyst,P25
231,92,Fe,0.5,Co-catalyst,P25
232,92,N3,,Dye,P25
233,92,H2O,,Reductant,P25
234,93,TiO2,,Catalyst,P25
235,93,Cu,0.5,Co-catalyst,P25
236,93,Fe,0.5,Co-catalyst,P25
237,93,N3,,Dye,P25
238,93,H2O,,Reductant,P25
239,94,TiO2,,Catalyst,P25
240,94,Cu,0.5,Co-catalyst,P25
241,94,Fe,0.5,Co-catalyst,P25
242,94,N3,,Dye,P25
243,94,H2O,,Reductant,P25
244,95,TiO2,,Catalyst,Anatase
245,95,saturated,,Reductant,Anatase
246,96,TiO2,,Catalyst,Anatase
247,96,ZnPc,1.0,Dye,Anatase
248,96,saturated,,Reductant,Anatase
249,97,TiO2,,Catalyst,Anatase
250,97,ZnPc,3.0,Dye,Anatase
251,97,saturated,,Reductant,Anatase
252,98,TiO2,,Catalyst,Anatase
253,98,ZnPc,5.0,Dye,Anatase
254,98,saturated,,Reductant,Anatase
255,99,TiO2,,Catalyst,Anatase
256,99,ZnPc,1.0,Dye,Anatase
257,99,saturated,,Reductant,Anatase
258,100,TiO2,,Catalyst,Anatase
259,100,ZnPc,1.0,Dye,Anatase
260,100,saturated,,Reductant,Anatase
261,101,TiO2,,Catalyst,P25
262,101,H2O,,Reductant,P25
263,102,TiO2,,Catalyst,Anatase
264,102,Cu,0.5,Co-catalyst,Anatase
265,102,Fe,0.5,Co-catalyst,Anatase
266,102,H2O,,Reductant,Anatase
267,103,TiO2,,Catalyst,Anatase
268,103,Cu,0.5,Co-catalyst,Anatase
269,103,Fe,0.5,Co-catalyst,Anatase
270,103,H2O,,Reductant,Anatase
271,104,TiO2,,Catalyst,Anatase
272,104,SiO2,,Support,Anatase
273,104,H2O,,Reductant,Anatase
274,105,TiO2,,Catalyst,Anatase
275,105,SiO2,,Support,Anatase
276,105,Cu,0.5,Co-catalyst,Anatase
277,105,Fe,0.5,Co-catalyst,Anatase
278,105,H2O,,Reductant,Anatase
279,106,TiO2,,Catalyst,Anatase
280,106,SiO2,,Support,Anatase
281,106,H2O,,Reductant,Anatase
282,107,TiO2,,Catalyst,Anatase
283,107,SiO2,,Support,Anatase
284,107,H2O,,Reductant,Anatase
285,108,TiO2,,Catalyst,Anatase
286,108,SiO2,,Support,Anatase
287,108,Cu,0.5,Co-catalyst,Anatase
288,108,Fe,0.5,Co-catalyst,Anatase
289,108,H2O,,Reductant,Anatase
290,109,TiO2,,Catalyst,Anatase
291,109,SiO2,,Support,Anatase
292,109,Cu,0.5,Co-catalyst,Anatase
293,109,Fe,0.5,Co-catalyst,Anatase
294,109,H2O,,Reductant,Anatase
295,110,TiO2,,Catalyst,Anatase
296,110,SiO2,,Support,Anatase
297,110,Cu,0.5,Co-catalyst,Anatase
298,110,Fe,0.5,Co-catalyst,Anatase
299,110,H2O,,Reductant,Anatase
300,111,TiO2,,Catalyst,Anatase
301,111,NaOH,,Reductant,Anatase
302,112,TiO2,,Catalyst,P25
303,112,NaOH,,Reductant,P25
304,113,TiO2,,Catalyst,Anatase
305,113,NaOH,,Reductant,Anatase
306,114,TiO2,,Catalyst,Anatase
307,114,Cu,0.6,Co-catalyst,Anatase
308,114,NaOH,,Reductant,Anatase
309,115,TiO2,,Catalyst,Anatase
310,115,Cu,1,Co-catalyst,Anatase
311,115,NaOH,,Reductant,Anatase
312,116,TiO2,,Catalyst,Anatase
313,116,Cu,2,Co-catalyst,Anatase
314,116,NaOH,,Reductant,Anatase
315,117,TiO2,,Catalyst,Anatase
316,117,Cu,3.3,Co-catalyst,Anatase
317,117,NaOH,,Reductant,Anatase
318,118,TiO2,,Catalyst,Anatase
319,118,Cu,6,Co-catalyst,Anatase
320,118,NaOH,,Reductant,Anatase
321,119,TiO2,,Catalyst,P25
322,119,Cu,2,Co-catalyst,P25
323,119,NaOH,,Reductant,P25
324,120,TiO2,,Catalyst,Anatase
325,120,CoPc,0.5,Dye,Anatase
326,120,NaOH,,Reductant,Anatase
327,121,TiO2,,Catalyst,Anatase
328,121,CuO,3,Co-catalyst,Anatase
329,121,saturated solution from CO2 photoreduction,,Reductant,Anatase
330,122,TiO2,,Catalyst,P25
331,122,saturated H2O + NaOH,,Reductant,P25
332,123,TiO2,,Catalyst,Anatase
333,123,Cu,2,Co-catalyst,Anatase
334,123,saturated H2O + NaOH,,Reductant,Anatase
335,124,TiO2,,Catalyst,Anatase
336,124,SBA-15,,Support,Anatase
337,124,Cu,2,Co-catalyst,Anatase
338,124,saturated H2O + NaOH,,Reductant,Anatase
339,125,TiO2,,Catalyst,Anatase
340,125,SBA-15,,Support,Anatase
341,125,saturated H2O + NaOH,,Reductant,Anatase
342,126,TiO2,,Catalyst,Anatase
343,126,SBA-15,,Support,Anatase
344,126,saturated H2O + NaOH,,Reductant,Anatase
345,127,TiO2,,Catalyst,Anatase
346,127,SBA-15,,Support,Anatase
347,127,saturated H2O + NaOH,,Reductant,Anatase
348,128,TiO2,,Catalyst,Anatase
349,128,H2+H2O,,Reductant,Anatase
350,129,TiO2,,Catalyst,Anatase
351,129,H2O,,Reductant,Anatase
352,130,TiO2,,Catalyst,Anatase
353,130,H2,,Reductant,Anatase
354,131,b-Ga2O3,,Catalyst,
355,131,H2,,Reductant,
356,132,b-Ga2O3,,Catalyst,
357,132,H2,,Reductant,
358,133,b-Ga2O3,,Catalyst,
359,133,H2,,Reductant,
360,134,Zn2GeO4,,Catalyst,
361,134,H2O,,Reductant,
362,135,Zn2GeO4,,Catalyst,
363,135,H2O,,Reductant,
364,136,Zn2GeO4,,Catalyst,
365,136,Pt,0.5,Co-catalyst,
366,136,H2O,,Reductant,
367,137,Zn2GeO4,,Catalyst,
368,137,Pt,1,Co-catalyst,
369,137,H2O,,Reductant,
370,138,Zn2GeO4,,Catalyst,
371,138,Pt,1.5,Co-catalyst,
372,138,H2O,,Reductant,
373,139,Zn2GeO4,,Catalyst,
374,139,Pt,2,Co-catalyst,
375,139,H2O,,Reductant,
376,140,Zn2GeO4,,Catalyst,
377,140,Pt,2.5,Co-catalyst,
378,140,H2O,,Reductant,
379,141,InTaO4,,Catalyst,
380,141,H2O + NaOH,,Reductant,
381,142,InTaO4,,Catalyst,
382,142,H2O + NaOH,,Reductant,
383,143,InTaO4,,Catalyst,
384,143,NiO,1,Co-catalyst,
385,143,H2O + NaOH,,Reductant,
386,144,InTaO4,,Catalyst,
387,144,NiO,1,Co-catalyst,
388,144,H2O + NaOH,,Reductant,
389,145,InTaO4,,Catalyst,
390,145,NiO,1,Co-catalyst,
391,145,H2O + NaOH,,Reductant,
392,146,InTaO4,,Catalyst,
393,146,NiO,1,Co-catalyst,
394,146,H2O + NaOH,,Reductant,
395,147,InTaO4,,Catalyst,
396,147,NiO,1,Co-catalyst,
397,147,H2O,,Reductant,
398,148,InTaO4,,Catalyst,
399,148,NiO,1,Co-catalyst,
400,148,H2O,,Reductant,
401,149,InTaO4,,Catalyst,
402,149,NiO,1,Co-catalyst,
403,149,H2O,,Reductant,
404,150,Ti-MCM-41,,Catalyst,
405,150,D2O,,Reductant,
406,151,TiO2,,Catalyst,
407,151,Cu,,Co-catalyst,
408,151,N,,Dopant,
409,152,TiO2,,Catalyst,
410,152,Pt,,Co-catalyst,
411,152,N,,Dopant,
412,153,TiO2,,Catalyst,
413,153,Pt,,Co-catalyst,
414,153,N,,Dopant,
415,157,TiO2,,Catalyst,
416,157,H2O,,Reductant,
417,158,NaNbO3,,Catalyst,
418,158,Pt,,Co-catalyst,
419,158,H2O,,Reductant,
420,159,NaNbO3,,Catalyst,
421,159,Pt,,Co-catalyst,
422,159,H2O,,Reductant,
423,160,TiO2,,Catalyst,Anatase
424,160,H2O,,Reductant,Anatase
425,161,Ti-MCM-41,,Catalyst,
426,161,H2O,,Reductant,
427,162,Ti-MCM-48,,Catalyst,
428,162,H2O,,Reductant,
429,163,TS-1,,Catalyst,
430,163,H2O,,Reductant,
431,164,Ti-MCM-48,,Catalyst,
432,164,Pt,0.1,Co-catalyst,
433,164,H2O,,Reductant,
434,165,Ti-MCM-48,,Catalyst,
435,165,Pt,1,Co-catalyst,
436,165,H2O,,Reductant,
437,166,TiO2,,Catalyst,P25
438,166,H2O,,Reductant,P25
439,167,TS-1,,Catalyst,
440,167,H2O,,Reductant,
441,168,Ti-b Zeolite,,Catalyst,
442,168,H2O,,Reductant,
443,169,Ti-b Zeolite,,Catalyst,
444,169,H2O,,Reductant,
445,170,BiVO4,,Catalyst,
446,171,BiVO4,,Catalyst,
447,172,BiVO4,,Catalyst,
448,173,BiVO4,,Catalyst,
449,174,ZnS,,Catalyst,
450,174,H2O,,Reductant,
451,175,ZnS,,Catalyst,
452,175,H2O,,Reductant,
453,176,K2Ti6O13,,Catalyst,
454,176,Pt,,Co-catalyst,
455,176,H2O,,Reductant,
456,177,K2Ti6O13,,Catalyst,
457,177,Pt,,Co-catalyst,
458,177,H2O,,Reductant,
459,178,K2Ti6O13,,Catalyst,
460,178,Pt,,Co-catalyst,
461,178,H2O,,Reductant,
462,180,K2Ti6O13,,Catalyst,
463,180,Y-zeolite,,Support,
464,180,Pt,,Co-catalyst,
465,180,H2O,,Reductant,
466,181,K2Ti6O13,,Catalyst,
467,181,Y-zeolite,,Support,
468,181,Pt,,Co-catalyst,
469,181,H2O,,Reductant,
470,182,K2Ti6O13,,Catalyst,
471,182,Y-zeolite,,Support,
472,182,Pt,,Co-catalyst,
473,182,H2O,,Reductant,
474,183,ZnO,,Catalyst,
475,183,Cu,0.05,Co-catalyst,
476,183,H2O,,Reductant,
477,184,ZnO,,Catalyst,
478,184,Cu,0.05,Co-catalyst,
479,184,H2O,,Reductant,
480,185,K2Ti6O13,,Catalyst,
481,185,Pt,0.9,Co-catalyst,
482,185,H2O,,Reductant,
483,186,K2Ti6O13,,Catalyst,
484,186,Pt,0.9,Co-catalyst,
485,186,H2O,,Reductant,
486,187,K2Ti6O13,,Catalyst,
487,187,Pt,0.9,Co-catalyst,
488,187,H2O,,Reductant,
489,188,K2Ti6O13,,Catalyst,
490,188,Cu,0.05,Co-catalyst,
491,188,ZnO,0.05,Co-catalyst,
492,188,Pt,0.9,Co-catalyst,
493,188,H2O/H2,,Reductant,
494,189,K2Ti6O13,,Catalyst,
495,189,Cu,0.05,Co-catalyst,
496,189,ZnO,0.05,Co-catalyst,
497,189,Pt,0.9,Co-catalyst,
498,189,H2O/H2,,Reductant,
499,190,K2Ti6O13,,Catalyst,
500,190,Cu,0.05,Co-catalyst,
501,190,ZnO,0.05,Co-catalyst,
502,190,Pt,0.9,Co-catalyst,
503,190,H2O/H2,,Reductant,
504,191,K2Ti6O13,,Catalyst,
505,191,Pt-Cu,0.95,Co-catalyst,
506,191,ZnO,0.05,Co-catalyst,
507,191,H2O/H2,,Reductant,
508,192,K2Ti6O13,,Catalyst,
509,192,Pt-Cu,0.95,Co-catalyst,
510,192,ZnO,0.05,Co-catalyst,
511,192,H2O/H2,,Reductant,
512,193,K2Ti6O13,,Catalyst,
513,193,Pt-Cu,0.95,Co-catalyst,
514,193,ZnO,0.05,Co-catalyst,
515,193,H2O/H2,,Reductant,
516,194,Al2O3,,Catalyst,
517,194,H2,,Reductant,
518,195,Ga2O3,,Catalyst,
519,195,H2,,Reductant,
520,196,CaO,,Catalyst,
521,196,H2,,Reductant,
522,197,MgO,,Catalyst,
523,197,H2,,Reductant,
524,198,ZrO2,,Catalyst,
525,198,H2,,Reductant,
526,199,Ti-SBA-15,,Catalyst,
527,199,H2,,Reductant,
528,200,Ti-SBA-15,,Catalyst,
529,200,H2O,,Reductant,
530,201,TiO2,,Catalyst,P25
531,201,H2O,,Reductant,P25
532,202,Ti-MCM-41,,Catalyst,
533,202,H2O,,Reductant,
534,203,Ti-MCM-48,,Catalyst,
535,203,H2O,,Reductant,
536,204,Ti-SBA-15,,Catalyst,
537,204,H2O,,Reductant,
538,205,TS-1,,Catalyst,
539,206,KTaO3,,Catalyst,
540,206,H2,,Reductant,
541,207,LiTaO3,,Catalyst,
542,207,H2,,Reductant,
543,208,NaTaO3,,Catalyst,
544,208,H2,,Reductant,
545,209,Cu2O,,Catalyst,
546,209,H2O,,Reductant,
547,210,SiC,,Catalyst,
548,210,H2O,,Reductant,
549,211,SiC,,Catalyst,
550,211,Cu2O,3.13,Co-catalyst,
551,211,H2O,,Reductant,
552,212,InTaO4,,Catalyst,
553,212,deionized H2O,,Reductant,
554,213,InTaO4,,Catalyst,
555,213,N,,Dopant,
556,213,deionized H2O,,Reductant,
557,214,InTaO4,,Catalyst,
558,214,Ni@NiO,3.2,Co-catalyst,
559,214,deionized H2O,,Reductant,
560,215,InTaO4,,Catalyst,
561,215,Pt,1,Co-catalyst,
562,215,H2O,,Reductant,
563,216,InTaO4,,Catalyst,
564,216,NiO,0.8,Co-catalyst,
565,216,H2O,,Reductant,
566,217,InTaO4,,Catalyst,
567,217,NiO,1,Co-catalyst,
568,217,H2O,,Reductant,
569,218,InTaO4,,Catalyst,
570,218,NiO,1,Co-catalyst,
571,218,H2O,,Reductant,
572,219,InTaO4,,Catalyst,
573,219,NiO,1,Co-catalyst,
574,219,H2O,,Reductant,
575,220,InTaO4,,Catalyst,
576,220,NiO,1.9,Co-catalyst,
577,220,H2O,,Reductant,
578,221,InTaO4,,Catalyst,
579,221,NiO,2.6,Co-catalyst,
580,221,H2O,,Reductant,
581,222,InTaO4,,Catalyst,
582,222,NiO,2.6,Co-catalyst,
583,222,H2O,,Reductant,
584,223,InTaO4,,Catalyst,
585,223,NiO,2.6,Co-catalyst,
586,223,H2O,,Reductant,
587,224,InTaO4,,Catalyst,
588,224,NiO,2.6,Co-catalyst,
589,224,H2O,,Reductant,
590,225,InTaO4,,Catalyst,
591,225,NiO,8.5,Co-catalyst,
592,225,H2O,,Reductant,
593,226,InTaO4,,Catalyst,
594,226,NiO,,Co-catalyst,
595,226,H2O,,Reductant,
596,227,ZnO,,Catalyst,
597,227,Cu,,Co-catalyst,
598,227,H2,,Reductant,
599,228,Ga2O3,,Catalyst,
600,228,H2,,Reductant,
601,229,ZnCuAl(OH),,Catalyst,
602,229,H2,,Reductant,
603,230,ZnCuGa(OH),,Catalyst,
604,230,H2,,Reductant,
605,231,ZnO,,Catalyst,
606,231,Al2O3,10.0,Support,
607,231,CuO,10,Co-catalyst,
608,231,CO2 saturated,,Reductant,
609,232,TiO2,,Catalyst,Anatase
610,232,Al2O3,7.0,Support,Anatase
611,232,Li,7.0,Dopant,Anatase
612,232,CO2 saturated,,Reductant,Anatase
613,233,ZnO,,Catalyst,
614,233,MgO,10.0,Support,
615,233,CuO,10,Co-catalyst,
616,233,CO2 saturated,,Reductant,
617,234,TiO2,,Catalyst,Anatase
618,234,MgO,7.0,Support,Anatase
619,234,Li,7.0,Dopant,Anatase
620,234,CO2 saturated,,Reductant,Anatase
621,235,TiO2,,Catalyst,Anatase
622,235,Al2O3,10.0,Support,Anatase
623,235,Pd,10,Co-catalyst,Anatase
624,235,CO2 saturated,,Reductant,Anatase
625,236,TiO2,,Catalyst,Anatase
626,236,SiO2,10.0,Support,Anatase
627,236,Pd,10,Co-catalyst,Anatase
628,236,CO2 saturated,,Reductant,Anatase
629,237,TiO2,,Catalyst,Rutile
630,237,H2O (deionized),,Reductant,Rutile
631,238,TiO2,,Catalyst,P25
632,238,H2O (deionized),,Reductant,P25
633,239,TiO2,,Catalyst,Rutile
634,239,Cu,,Co-catalyst,Rutile
635,239,H2O (deionized),,Reductant,Rutile
636,240,TiO2,,Catalyst,P25
637,240,H2O,,Reductant,P25
638,241,TiO2,,Catalyst,P25
639,241,H2O,,Reductant,P25
640,242,TiO2,,Catalyst,P25
641,242,2-propanol,,Reductant,P25
642,243,TiO2,,Catalyst,Anatase
643,243,SiO2,,Support,Anatase
644,243,2-propanol,,Reductant,Anatase
645,244,TiO2,,Catalyst,Anatase
646,244,SiO2,,Support,Anatase
647,244,CCl4 ,,Reductant,Anatase
648,245,TiO2,,Catalyst,Anatase
649,245,SiO2,,Support,Anatase
650,245,H2O,,Reductant,Anatase
651,247,TiO2,,Catalyst,Anatase
652,247,NaOH,,Reductant,Anatase
653,248,TiO2,,Catalyst,P25
654,248,NaOH,,Reductant,P25
655,249,TiO2,,Catalyst,Anatase
656,249,Ag,0.7,Co-catalyst,Anatase
657,249,NaOH,,Reductant,Anatase
658,250,TiO2,,Catalyst,Anatase
659,250,Ag,2.4,Co-catalyst,Anatase
660,250,NaOH,,Reductant,Anatase
661,251,TiO2,,Catalyst,Anatase
662,251,Ag,3.4,Co-catalyst,Anatase
663,251,NaOH,,Reductant,Anatase
664,252,TiO2,,Catalyst,Anatase
665,252,Ag,5.2,Co-catalyst,Anatase
666,252,NaOH,,Reductant,Anatase
667,253,TiO2,,Catalyst,P25
668,253,Pd,1,Co-catalyst,P25
669,254,TiO2,,Catalyst,P25
670,254,Nafion,1.0,Support,P25
671,254,Pd,,Co-catalyst,P25
672,255,TiO2,,Catalyst,Anatase
673,255,H2O,,Reductant,Anatase
674,256,TiO2,,Catalyst,Anatase
675,256,H2O,,Reductant,Anatase
676,257,TiO2,,Catalyst,Anatase
677,257,H2O,,Reductant,Anatase
678,258,TiO2,,Catalyst,Anatase
679,258,Pt,,Co-catalyst,Anatase
680,258,H2O,,Reductant,Anatase
681,259,TiO2,,Catalyst,Anatase
682,259,Pt,,Co-catalyst,Anatase
683,259,H2O,,Reductant,Anatase
684,260,TiO2,,Catalyst,Anatase
685,260,Pt,,Co-catalyst,Anatase
686,260,H2O,,Reductant,Anatase
687,261,TiO2,,Catalyst,
688,261,SiO2,,Support,
689,261,CO2 saturated acetonitrile containing LiNO3 and 2-propanol,,Reductant,
690,262,TiO2,,Catalyst,Anatase
691,263,TiO2,,Catalyst,Anatase
692,263,Pt,2,Co-catalyst,Anatase
693,264,TiO2,,Catalyst,Anatase
694,264,Pt,2,Co-catalyst,Anatase
695,265,TiO2,,Catalyst,Mix
696,265,(H2O) 3 + isopropanol,,Reductant,Mix
697,266,TiO2,,Catalyst,Mix
698,266,(H2O) 3 + isopropanol,,Reductant,Mix
699,267,TiO2,,Catalyst,Anatase
700,267,(H2O) 3 + isopropanol,,Reductant,Anatase
701,268,TiO2,,Catalyst,Rutile
702,268,(H2O) 3 + isopropanol,,Reductant,Rutile
703,269,TiO2,,Catalyst,P25
704,269,(H2O) 3 + isopropanol,,Reductant,P25
705,270,TiO2,,Catalyst,Anatase
706,270,SiO2,,Support,Anatase
707,270,H2O + 1 M 2-propanol,,Reductant,Anatase
708,271,TiO2,,Catalyst,Anatase
709,271,SiO2,,Support,Anatase
710,271,H2O + 1 M 2-propanol,,Reductant,Anatase
