ID,Unit
1,EV
2,M2-PER-GM
3,L
4,GM
5,W
6,W-PER-M2
7,DEG_C
8,BAR
9,PER-HR
10,HR
11,PH
12,NanoM
13,M2
14,MicroMOL-PER-GM-HR
15,MicroMOL-PER-GM
16,MicroMOL-PER-M2-HR
